,item,price,delivery fee,star rate,review count,url
27,[한푸드]한끼뚝딱누룽지 [8봉지 24인분] 국산쌀100%,"20,900",무료배송,판매자 평점 별5개 중 4.5개,"리뷰 11,545건",https://www.11st.co.kr/products/10755192?&trTypeCd=20&trCtgrNo=1001477
28,한우물볶음밥 27종 내맘대로 골라담기,970,"배송비 3,500원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 4,914건",https://www.11st.co.kr/products/1620452115?&trTypeCd=20&trCtgrNo=1001477
29,[더미식] 월간십일일 즉석밥 24P모음 / 백미/ 현미 / 잡곡 외,"47,000",무료배송,판매자 평점 별5개 중 4.5개,리뷰 363건,https://www.11st.co.kr/products/3886981496?&trTypeCd=20&trCtgrNo=1001477
30,농부의선물 돌솥밥쌀현미 누룽지 3kg,"25,800",무료배송,판매자 평점 별5개 중 4.5개,리뷰 260건,https://www.11st.co.kr/products/2667580849?&trTypeCd=20&trCtgrNo=1001477
31,초특가세일/cj햇반컵반/짜장덮밥/컵밥/40종/골라담기,"1,690","배송비 2,500원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,066건",https://www.11st.co.kr/products/2545084082?&trTypeCd=20&trCtgrNo=1001477
32,CJ컵반/햇반/보리밥/즉석밥/오뚜기컵밥 모음전,"1,980","배송비 2,500원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 4,193건",https://www.11st.co.kr/products/2008190811?&trTypeCd=20&trCtgrNo=1001477
33,아워홈 온더고 도시락6종 290g+치킨가라아게1kg 총7개,"34,900",무료배송,,,https://www.11st.co.kr/products/5531496322?&trTypeCd=20&trCtgrNo=1001477
34,국내산의자부심 100% 우리쌀로 만든 구수한 누룽지 1kg(2팩구성) 3kg,"18,900",무료배송,판매자 평점 별5개 중 4.0개,리뷰 613건,https://www.11st.co.kr/products/2939532417?&trTypeCd=20&trCtgrNo=1001477
35,CJ컵반 CJ컵밥 햇반 즉석밥 즉석식품 오뚜기밥 모음전,"1,980","배송비 2,500원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,902건",https://www.11st.co.kr/products/2013597928?&trTypeCd=20&trCtgrNo=1001477
36,CJ 햇반 컵반 오뚜기 컵밥 신제품 비비고 59종 모음전,"2,050","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 1,480건",https://www.11st.co.kr/products/1810552160?&trTypeCd=20&trCtgrNo=1001477
37,더미식 카오팟쌉빠롯 210g 4개입 / 파인애플 볶음밥 / 태국볶음밥 / 즉석요리,"23,000",무료배송,,,https://www.11st.co.kr/products/5431081168?&trTypeCd=20&trCtgrNo=1001477
38,CJ 햇반200g 24개 (12개입 2개),"27,350",무료배송,판매자 평점 별5개 중 5.0개,리뷰 2건,https://www.11st.co.kr/products/4880511866?&trTypeCd=20&trCtgrNo=1001477
39,오뚜기밥 210g 24개입,"28,900",무료배송,,,https://www.11st.co.kr/products/5341795874?&trTypeCd=20&trCtgrNo=1001477
40,CJ 햇반/오뚜기밥 컵밥 골라담기 즉석밥 흑미 오곡 현미,"13,900","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 5,168건",https://www.11st.co.kr/products/513505655?&trTypeCd=20&trCtgrNo=1001477
41,CJ제일제당 둥근 햇반 200g 12개,"15,190",무료배송,판매자 평점 별5개 중 4.5개,리뷰 9건,https://www.11st.co.kr/products/5072617808?&trTypeCd=20&trCtgrNo=1001477
42,아워홈 온더고 냉동도시락 12종,"4,700","배송비 3,500원 수량별차등",판매자 평점 별5개 중 4.5개,리뷰 521건,https://www.11st.co.kr/products/2716358505?&trTypeCd=20&trCtgrNo=1001477
43,오뚜기밥 210g 48개입,"52,900",무료배송,판매자 평점 별5개 중 5.0개,리뷰 1건,https://www.11st.co.kr/products/5341795401?&trTypeCd=20&trCtgrNo=1001477
44,동원 쎈쿡 발아현미밥/흑미/통곡물밥/현미밥(1박스),"22,600","배송비 2,500원 착불/선결제",판매자 평점 별5개 중 4.5개,"리뷰 1,232건",https://www.11st.co.kr/products/1621428162?&trTypeCd=20&trCtgrNo=1001477
45,[오뚜기] 오뚜기밥 일반밥/큰밥/작은밥/잡곡밥 박스전,"31,900",무료배송,판매자 평점 별5개 중 4.5개,리뷰 372건,https://www.11st.co.kr/products/3019969725?&trTypeCd=20&trCtgrNo=1001477
46,황동판에 구워 구수한 누룽지 150gx10봉 (국내산쌀 100%),"20,700",무료배송,,,https://www.11st.co.kr/products/5526669745?&trTypeCd=20&trCtgrNo=1001477
47,국산쌀)천일 인기볶음밥 28종/새우/낙지/드라이아이스,"1,590","배송비 3,000원 수량별차등",판매자 평점 별5개 중 4.5개,"리뷰 37,037건",https://www.11st.co.kr/products/1230205840?&trTypeCd=20&trCtgrNo=1001477
48,아워홈 볶음밥 250g 6종 햄야채 새우 김치 치킨 소불고기 매콤불닭,"1,690","배송비 3,500원 수량별차등",판매자 평점 별5개 중 4.5개,리뷰 94건,https://www.11st.co.kr/products/4333120495?&trTypeCd=20&trCtgrNo=1001477
